Institution Name,Classification,Research Classification,Highest Level of Degree Available,Physics Program (Y/N),Astronomy Program (Y/N),Astronomy Faculty (Y/N),Numerous Astronomy Faculty (Y/N),NOTES,Latitude,Longitude,Address,Zip Code
Chicago State University,BSI,,,Y,N,N,N,No astronomy faculty,41.7172647,-87.60952644,"Chicago State University, 9501, South Doctor Martin Luther King Junior Drive, Roseland, Chicago, Hyde Park Township, Cook County, Illinois, 60628, United States",60628
Christian Brothers University,BSI,,,Y,N,N,N,No astronomy faculty,35.1289696,-89.98022498,"Christian Brothers University, 650, East Parkway South, Lenox, Memphis, Shelby County, West Tennessee, Tennessee, 38104, United States",38104
Claremont Graduate University,,R2,,N,N,N,N,No physics department,34.1103852,-117.7175884,,91711
Clark Atlanta University,HBCU,R2,Doctorate,Y,N,N,N,No astronomy faculty,33.75012475,-84.41158897,"Clark Atlanta University, Mitchell Street Southwest, Atlanta University Center, Atlanta, Fulton County, Georgia, 30314, United States",30314-4391
Clark University,,R2,,Y,N,N,N,No astronomy faculty,42.25146815,-71.82295086,,1610
Clarkson University,,R2,,Y,N,Y,N,Josh Thomas,44.65958875,-75.00623975,,13676
Cleveland State University,,R2,,Y,N,N,N,No astronomy faculty,41.50214445,-81.67516705,,44115
College of Staten Island CUNY,HSI,,,Y,Y,Y,Y,Astronomy department,40.6086562,-74.1538632,"Victory Boulevard & CUNY College Of Staten Island, Victory Boulevard, Bulls Head, Staten Island, City of New York, New York, 10314, United States",10314
College of William and Mary,,R2,,Y,N,N,N,No astronomy faculty,37.26908455,-76.72273167,,23185
Colorado School of Mines,,R2,,Y,Y,Y,Y,Astronomy minor,39.7386338,-105.2246389,,80401
CUNY City College,HSI,R2,,Y,N,Y,N,Astronomy courses; Michio Kaku,40.60150585,-74.15012555,"160 Convent Ave, New York, New York, 10031, United States",10031
CUNY Queens College,HSI,,,Y,N,N,N,Astronomy courses; Astronomy faculty; Dr. Matthew Civiletti,40.737004,-73.8251979,"Main Street & CUNY Queens College, Main Street, Queens, City of New York, New York, 11367, United States",11367
CUNY York College,HSI,,,Y,Y,Y,Y,Astronomy minor,40.7017824,-73.7952695,"94-20 Guy R Brewer Blvd, Jamaica, New York, 11451, United States",11451
Delaware State University,HBCU,R2,Doctorate,Y,N,N,N,No astronomy faculty,39.1867993,-75.54235828,"Delaware State University, North Dupont Highway, Dover, Kent County, Delaware, 19901, United States",19901
DePaul University,,R2,,Y,Y,Y,Y,"Astrophysics department; Jesus Pando, Anuj Sarma",41.92401995,-87.65472731,,60614
Dillard University,HBCU,,Bachelor,Y,N,N,N,No astronomy faculty,29.9962374,-90.06536777,"Dillard University, Pleasure Street, New Orleans, Orleans Parish, Louisiana, 70122, United States",70122
Duquesne University,,R2,,Y,Y,Y,Y,Astronomy track; Simonetta Frittelli,40.43810165,-79.98966842,,15219
East Carolina University,,R2,,Y,N,N,N,No astronomy faculty,36.0781271,-79.77054699,,27411
East Tennessee State University,,R2,,Y,Y,Y,Y,"Astronomy department; Mark Giroux, Gary Henson, Richard Ignace, Donald Luttermoser, Beverly Smith",36.3022214,-82.36945751,,37614
Eastern Michigan University,,R2,,Y,Y,Y,Y,"Astronomy minor; Mark Fairclough, Tom Kasper, Norbert Vance",42.25224625,-83.62456152,,48197
Fisk University,HBCU,,Master,Y,N,N,N,No astronomy faculty,36.16707125,-86.80390652,"Fisk University, 1000, 17th Avenue North, Nashville-Davidson, Davidson County, Tennessee, 37208, United States",37208-4501
Florida Agricultural and Mechanical University,HBCU,R2,Doctorate,Y,N,N,N,Astronomy courses; no astronomy faculty,30.4227425,-84.28759934,"Florida Agricultural and Mechanical University, 1601, FAMU Way, Tallahassee, Leon County, Florida, 32307, United States",32307
Florida Atlantic University,HSI,R2,,Y,N,Y,Y,"Astronomy courses; Astronomy research; Observatory; Astronomy faculty, Dr. Eric Vandernoot",26.11940365,-80.14169191,"777 Glades Rd, Boca Raton, FL 33431",33431
Florida Institute of Technology,,R2,,Y,Y,Y,Y,"Astronomy Major; Daniel Batcheldor, Saida Caballero-Nieves, Samuel Durrance, David Harris, Manasvi Lingam, Jean Carlos Perez, Eric Perlman, etc.",28.0642296,-80.62300972,,32901
Florida International University,HSI,,,Y,Y,Y,Y,Astronomy department,25.7553898,-80.37628328,"Florida International University, 11200, Southwest 8th Street, Miami-Dade County, Florida, 33199, United States",33199
Fordham University,,R2,,Y,N,Y,N,John Cunningham,40.86334655,-73.88589577,,"York,"
Francis Marion University,BSI,,,Y,Y,Y,Y,Astronomy department,34.1913616,-79.6566809,"Francis Marion University, Patriot Dr, Florence County, South Carolina, United States",29506
Frostburg State University,BSI,,,Y,N,N,N,Dr. Jason Speights,39.6476066,-78.94059834,"Frostburg State University, 101, Braddock Road, Braddock Estates, Frostburg, Allegany County, Maryland, 21532, United States",21532
Gallaudet University,,R2,,Y,N,N,N,No information,38.9083027,-76.99171057,,20002
Georgia Southern University,BSI,R2,,Y,Y,Y,Y,Astronomy department,32.42143805,-81.78450529,"Georgia Southern University, Fair Road, Pine Cove, Statesboro, Bulloch County, Georgia, 30458, United States",30458
Georgia State University,BSI,,,Y,Y,Y,Y,Astronomy department,33.75476135,-84.38819218,"Georgia State University, 33, Gilmer Street Southeast, Georgia State, Old Fourth Ward, Atlanta, Fulton County, Georgia, 30303, United States",30303
Grambling State University,HBCU,M1,Doctorate,Y,N,Y,Y,"Dr. Lee Brit, Dr. Matthew Ware",32.51950275,-92.72116383,"Grambling State University, 403, Main Street, Grambling, Lincoln Parish, Louisiana, 71245, United States",71245
Hampton University,HBCU,R2,Doctorate,Y,Y,Y,Y,Astronomy department,37.0210096,-76.33862554,"Hampton University, 100, East Queen Street, Kecoughtan, Hampton, Virginia, 23668, United States",23668-0099
Houston Baptist University,HSI,,,Y,N,N,N,Astronomy courses,29.69442915,-95.5147559,"Houston Baptist University, Fondren Road, Houston, Harris County, Texas, 77085, United States",77085
Howard University,HBCU,R2,Doctorate,Y,Y,Y,Y,Astronomy department,38.9218972,-77.01959315,"Howard University, 2400, 6th Street Northwest, Howard University, Common Good Farm, Washington, District of Columbia, 20059, United States",20059
Humboldt State University,HSI,,,Y,Y,Y,Y,Astronomy program,40.87558755,-124.0779998,"Humboldt State University, 1, Harpst Street, Arcata, Humboldt County, California, 95521, United States",95521
Hunter College,HSI,,,Y,Y,Y,Y,Astronomy department,40.7683107,-73.96440596,"Hunter College, 695, Park Avenue, Manhattan Community Board 8, Lenox Hill, New York County, City of New York, New York, 10065, United States",10021
Idaho State University,,R2,,Y,N,N,N,No astronomy faculty,42.859944,-112.4078309,,83209
Illinois Institute of Technology,,R2,,Y,Y,Y,Y,Astronomy major,41.8352554,-87.62643622,,60616
Illinois State University,,R2,,Y,N,Y,N,Matt Caplan,40.51799375,-89.00846071,,61790
Indiana University-Purdue University-Indianapolis,,R2,,Y,N,N,N,No astronomy faculty,39.77477735,-86.17696358,,46202
Jackson State University,HBCU,R2,Doctorate,Y,N,Y,N,Dr. Mehri Fadavi,32.29640925,-90.20743755,"Jackson State University, Prose Avenue, Washington Addition, Jackson, Hinds County, Mississippi, 39204, United States",39217
Jefferson (Philadelphia University + Thomas  Jefferson University),,R2,,N,N,N,N,No physics department,40.0225006,-75.1919341,,19144
Kennesaw State University,,R2,,Y,N,Y,N,"Eric Smith, David Garofalo",34.0389231,-84.58318158,,30144
Kent State University at Kent,,R2,,Y,N,Y,N,Veronica Dexheimer,40.8677147,-81.43623233,,44720
Lamar University,BSI,,,Y,Y,Y,Y,Space science minor,30.03889465,-94.07589293,"Lamar University, 4400, Martin Luther King Junior Parkway, Zummo, Beaumont, Jefferson County, Texas, 77705, United States",77705
Lane College,HBCU,,Bachelor,Y,N,N,N,No astronomy faculty,35.6282633,-88.80669167,"Lane College, 545, Lane Avenue, Allenton Heights, Jackson, Madison County, Tennessee, 38301, United States",38301-4598
Lehigh University,,R2,,Y,Y,Y,Y,"Astronomy major and minor; Gary DeLeo, Virginia McSwain, Joshua Pepper",40.6068028,-75.3782488,,18015
Lehman College,HSI,,,Y,Y,Y,Y,Astronomy department,40.87447,-73.893158,"250 Bedford Park Blvd W, The Bronx, New York, 10468, United States",10468
Lehman College,BSI,,,Y,Y,Y,Y,Astronomy department,40.87447,-73.893158,"250 Bedford Park Blvd W, The Bronx, New York, 10468, United States",10468
Lincoln University,HBCU,,Doctorate,Y,N,N,N,Dr. Victoria Lakey,39.8065518,-75.92870551,"Lincoln University, 1570, Baltimore Pike, Lower Oxford Township, Chester County, Pennsylvania, 19352, United States",19352-0999
Lincoln University Jefferson City,HBCU,,Doctorate,Y,N,Y,Y,Astronomy courses,38.56278625,-92.17237703,"Lincoln University, 820, Chestnut Street, Jefferson City, Cole County, Missouri, 65101, United States",65101
Louisiana Tech University,,R2,,Y,N,N,N,No astronomy faculty,32.52648235,-92.64781957,,71272
Loyola Marymount University,,R2,,Y,N,Y,Y,"David Berube, Emily Hawkins, Jonas Mureika, Gabriele Varieschi",33.9687824,-118.4182021,,90094
Loyola University Chicago,,R2,,Y,N,Y,Y,"Robert McNees, Stuart Wick, Walter Tangarife",41.9991492,-87.65737042,,60660
Marquette University,,R2,,Y,N,Y,Y,"Christopher Stockdale, Bill Hirsch, Michael Politano, Jax Sanders",43.03885465,-87.93155929,,53233
Marshall University,,R2,,Y,N,Y,N,"Maria Babiuc-Hamilton, Jon Saken",38.42362575,-82.42740243,,25755
McMurry University,HSI,,,Y,N,N,N,Dr. Wayne Keith,32.42933465,-99.74874358,"McMurry University, 1, War Hawk Way, Abilene, Taylor County, Texas, 79697, United States",79605
Mercer University,,R2,,Y,N,Y,N,Frank McNally,32.831806,-83.6499029,,31201
Miami University-Oxford,,R2,,Y,N,Y,N,Stephen Alexander,39.5094198,-84.73115457,,45056
Michigan Technological University,,R2,,Y,N,Y,Y,"Brian Fick, Elena Giusarma, Petra Huentemeyer, Robert Nemiroff",47.1099114,-88.55115133,,49931
Missouri University of Science and Technology,,R2,,Y,N,Y,N,"Marco Cavaglia, Shun Saito",37.95289395,-91.77385801,,65409
Montclair State University,HSI,R2,,Y,Y,Y,Y,Astronomy department,40.86468785,-74.19692132,"Montclair State University, 1, Normal Avenue, Montclair, Passaic County, New Jersey, 07043, United States",7043
Morehouse College,HBCU,,Bachelor,Y,N,Y,Y,Concentration in astronomy,33.74737405,-84.41609506,"Morehouse College, Joseph E. Lowery Boulevard, Collegetown, Atlanta, Fulton County, Georgia, 30314, United States",30314
Morgan State University,HBCU,R2,Doctorate,Y,N,N,N,No astronomy faculty,39.3446663,-76.58360942,"Morgan State University, 1700, East Cold Spring Lane, Stonewood-Pentwood-Winston, Baltimore, Maryland, 21251, United States",21251-0001
New Mexico State University,HSI,R2,,Y,Y,Y,Y,Astronomy department,32.2729032,-106.7434927,"New Mexico State University, 1780, East University Avenue, Las Cruces, Doña Ana County, New Mexico, 88003, United States",88003
New Mexico Tech,HSI,,,Y,N,Y,Y,Astrophysics research; Observatory,34.06623395,-106.9110595,"New Mexico Tech, 801, Leroy Place, Socorro, Socorro County, New Mexico, 87801, United States",87801
Norfolk State University,HBCU,,Doctorate,Y,Y,Y,Y,Astronomy minor,36.8482215,-76.26296421,"Norfolk State University, Norchester Avenue, Chesterfield, Norfolk, Virginia, 23504, United States",23504-8000
North Carolina A & T State University,HBCU,R2,Doctorate,Y,N,N,N,Dr. Athina Meli,36.072639,-79.77137,"North Carolina A&T State University Farm, Old Mc Connell Loop, Guilford County, North Carolina, 27405, United States",27411
North Carolina Central University,HBCU,M1,Doctorate,Y,N,N,N,No astronomy faculty,35.97320905,-78.89755054,"North Carolina Central University, South Alston Avenue, Durham, Durham County, North Carolina, 27713, United States",27707
North Dakota State University-Main Campus,,R2,,Y,N,N,N,No astronomy faculty,46.897155,-96.81826543,,58102
Northeastern Illinois University,HSI,,,Y,Y,Y,Y,Astronomy department,41.98026885,-87.71848508,"Northeastern Illinois University, 5500, North Saint Louis Avenue, North Park, Chicago, Jefferson Township, Cook County, Illinois, 60625, United States",60625
Northern Arizona University,,R2,,Y,Y,Y,Y,Astronomy major,35.1834428,-111.6550004,,86011
Northern Illinois University,,R2,,Y,N,N,N,No astronomy faculty,41.9370934,-88.78267841,,60115
Notre Dame of Maryland University,BSI,,,Y,N,N,N,No astronomy faculty,39.35142325,-76.61946621,"Notre Dame of Maryland University, 4701, North Charles Street, Loyola/Notre Dame, Baltimore, Maryland, 21210, United States",21210
Nova Southeastern University,,R2,,Y,N,Y,N,Stefan Kautsch,26.0806806,-80.2505161,,33314
Oakland University,,R2,,Y,Y,Y,Y,Astronomy minor,42.66663325,-83.20655752,,48309
Ohio University-Main Campus,,R2,,Y,Y,Y,Y,Astronomy department,39.1318613,-84.51576196,,45219
Old Dominion University,BSI,R2,,Y,N,N,N,No astronomy faculty,36.8862699,-76.30972479,"Old Dominion University, 5115, Hampton Boulevard, Norfolk, Virginia, 23529, United States",23529
Ponce Health Sciences University,,R2,,N,N,N,N,No physics department,17.9933693,-66.6199462,,717
Portland State University,,R2,,Y,Y,Y,Y,Astronomy minor,45.51181205,-122.68493,,97201
Prairie View A & M University,HBCU,M1,Doctorate,Y,N,N,N,Dr. Gary Erickson; Observatory in development; Planned creation of a Physics AND Astronomy department,30.09609545,-95.98700068,"Prairie View A&M University, 700, Sandra Bland Parkway, Prairie View, Waller County, Texas, 77446, United States",77446
Rochester Institute of Technology,,R2,,Y,Y,Y,Y,Astronomy department,43.08248835,-77.67291102,,14623
Rockefeller University,,R2,,Y,N,N,N,No astronomy faculty,40.76243945,-73.95575648,,10065
Rowan University,,R2,,Y,Y,Y,Y,Astronomy department,39.7103526,-75.11932666,,8028
Rutgers University-Camden,,R2,,Y,N,N,N,No astronomy faculty,39.94836125,-75.12269863,,8102
Rutgers University-Newark,,R2,,Y,N,N,N,No astronomy faculty,40.74068705,-74.17488898,,7102
Saint Louis University,,R2,,Y,N,Y,N,Greg Comer,38.6352837,-90.23167733,,63103
Saint Mary's College of California,HSI,,,Y,Y,Y,Y,Astronomy department,37.8409597,-122.109459,"Saint Mary's College of California, De La Salle Drive, Moraga, Contra Costa County, California, 94575, United States",94556
Saint Peter's University,HSI,,,Y,N,N,N,No astronomy faculty,40.7276245,-74.07216785,"St. Peter's University, De Kalb Avenue, Bergen, Jersey City, Hudson County, New Jersey, 07306, United States",7423:46:00
San Diego State University,HSI,R2,,Y,Y,Y,Y,Astronomy department,32.7761529,-117.0733037,"San Diego State University, 1, Campanile Mall, Montezuma Mesa, San Diego, San Diego County, California, 92182, United States",92182
San Francisco State University,HSI,,,Y,Y,Y,Y,Astronomy department,37.7245167,-122.4800002,"San Francisco State University, 1600, Holloway Avenue, San Francisco, California, 94132, United States",94132
San Jose State University,HSI,,,Y,Y,Y,Y,Astronomy department,37.33519025,-121.8812255,"San José State University, Woodborough Court, San Jose, Santa Clara County, California, 95116-2246, United States",95192
Seton Hall University,,R2,,Y,N,N,N,No astronomy faculty,40.7433314,-74.24689208,,7106
Sonoma State University,HSI,,,Y,Y,Y,Y,Astronomy department,38.33982655,-122.6734192,"Sonoma State University, 1801, East Cotati Avenue, C Section, Cotati, Rohnert Park, Sonoma County, California, 94928, United States",94928
South Carolina State University,HBCU,,Doctorate,Y,N,Y,Y,"Dr. Triana Almeyda, Dr. Donald Walter",33.49878505,-80.84684338,"South Carolina State University, 300, Norman Street, New Brookland, Orangeburg County, South Carolina, 29115, United States",29117-0001
South Dakota State University,,R2,,Y,N,Y,N,Judy Vondruska,44.344449,-96.79823712,,57006
Southern Arkansas University,BSI,,,Y,N,N,N,No astronomy faculty,33.2898495,-93.2360008,"Southern Arkansas University, 100, East University Street, Magnolia, Columbia County, Arkansas, 71753, United States",71753
Southern Illinois University-Carbondale,,R2,,Y,N,N,N,No astronomy faculty,37.7083423,-89.2275556,,62901
Southern Methodist University,,R2,,Y,N,Y,Y,"Jodi Cooley, Joel Meyers, Krista Smith, Robert Kehoe",32.84180115,-96.7815281,,75205
Spelman College,HBCU,,Bachelor,Y,N,N,N,No astronomy faculty,33.74519965,-84.41128662,"Spelman College, Dora Street Southwest, Atlanta University Center, Atlanta, Fulton County, Georgia, 30314, United States",30314-4399
St. Mary's University,HSI,,,Y,N,N,N,Dr. Patrick Greene,29.45316,-98.56264,"1 Camino Santa Maria, San Antonio, Texas, 78228, United States",78228
Stevens Institute of Technology,,R2,,Y,Y,Y,Y,Astronomy minor,40.7448096,-74.02523923,,7030
SUNY Buffalo State,BSI,,,Y,Y,Y,Y,Astronomy department,42.9345986,-78.88605006,"1300 Elmwood Ave, Buffalo, New York, 14222, United States",14222
SUNY College of Environmental Science and Forestry,,R2,,N,N,N,N,No physics department,43.0347222,-76.1355556,,13210
Teachers College at Columbia University,,R2,,N,N,N,N,No physics department,40.81025805,-73.96066073,,10027
Tennessee State University,,R2,,Y,Y,Y,Y,Astronomy minor,36.16794425,-86.82710486,,37208
Tennessee Technological University,,R2,,Y,Y,Y,Y,Astronomy minor,36.1748745,-85.50890527,,38505
Texas A & M University-Corpus Christi,,R2,,Y,N,Y,N,Galina Reid,27.71275135,-97.32338771,,78412
Texas A & M University-Kingsville,,R2,,Y,N,N,N,No astronomy faculty,27.5279817,-97.88367215,,78363
Texas Christian University,,R2,,Y,Y,Y,Y,Astronomy department,32.7080148,-97.36119385,,76109
Texas Lutheran University,HSI,,,Y,N,N,N,No astronomy faculty,29.57399695,-97.98518003,"Texas Lutheran University, 1000, West Court Street, Seguin, Guadalupe County, Texas, 78155, United States",78155
Texas Southern University,HBCU,R2,Doctorate,Y,N,Y,N,Dr. Victor Migenes,29.7209058,-95.35962009,"Texas Southern University, Scott Street, Houston, Harris County, Texas, 77051, United States",77004
Texas State University,HSI,R2,,Y,N,Y,Y,"Dr. Andrea Banzatti (exoplanet research), Blagoy Rangelov (galactic nuclei), Danny Barringer (astornomy & equity)",29.8884765,-97.94479886,"Texas State University, 601, University Drive, San Marcos, Hays County, Texas, 78666, United States",78666
The New School,,R2,,N,N,N,N,No physics department,40.73547915,-73.99707088,,10011
The University of Montana,,R2,,Y,Y,Y,Y,Astronomy department,45.20967595,-112.6391549,,59725
The University of Texas at San Antonio,HSI,R2,,Y,Y,Y,Y,Astronomy department,29.58333105,-98.61944505,,78249
The University of Texas Rio Grande Valley,HSI,R2,,Y,Y,Y,Y,Astronomy department,25.89581415,-97.4881916,,78520
Tougaloo College,HBCU,,Bachelor,Y,N,N,N,No astronomy faculty,32.4039168,-90.1595745,"Tougaloo College, North Tougaloo Boulevard, Jackson, Madison County, Mississippi, 39157, United States",39174
Troy University,BSI,,,Y,N,Y,Y,Dr. Justin Bankert,31.80222345,-85.95568668,"Troy University, University Avenue, Troy, Pike County, Alabama, 36082, United States",36082
Tuskegee University,HBCU,,Doctorate,Y,N,N,N,No astronomy faculty,38.8833888,-77.01000879,"499 S Capitol St SW, Washington, DC, 20003, United States",20003
University of Akron Main Campus,,R2,,Y,N,N,N,No astronomy faculty,41.07573825,-81.5114532,,44328
University of Alabama at Birmingham,BSI,,,Y,N,N,N,No astronomy faculty,33.5016153,-86.80604756,"University of Alabama at Birmingham, 1720, University Boulevard, Cullom Street-Twelfth Street South Historic District, Richmond Place, Birmingham, Jefferson County, Alabama, 35294, United States",35294
University of Alabama in Huntsville,,R2,,Y,Y,Y,Y,Astronomy department,34.7249108,-86.64049095,,35899
University of Alaska Fairbanks,,R2,,Y,Y,Y,Y,Astronomy concentration; Hui Zhang,64.86534085,-147.8426097,,99775
University of Arizona,HSI,,,Y,Y,Y,Y,Astronomy department; Steward Observatory,32.23104675,-110.9494054,"1510 E University Blvd, Tucson, Arizona, 85721, United States",85721
University of Arkansas at Little Rock,,R2,,Y,Y,Y,Y,Astronomy department,34.72236805,-92.33830255,,72204
University of California Irvine,HSI,,,Y,Y,Y,Y,Astronomy department,33.6431901,-117.8401649,"University of California, Irvine, Theory, University of California, Irvine, Irvine, Orange County, California, 92617-5135, United States",92617-5135
University of California Merced,HSI,,,Y,N,Y,Y,Astronomy research; Astronomy faculty,37.3662609,-120.424296,"Campus Store, Bobcat Walk, Merced County, California, 95343, United States",95343
University of California Riverside,HSI,,,Y,Y,Y,Y,Astronomy department,33.96370575,-117.3397807,"University of California, Riverside, 900, University Avenue, Bannockburn Village, Riverside, Riverside County, California, 92521, United States",92521
University of California Santa Barbara,HSI,,,Y,N,Y,Y,Astrophysics emphasis; high research activity in astronomy,34.41460245,-119.84581,"University of California, Santa Barbara, 552, Estero Road, 67 Block, Isla Vista, Santa Barbara County, California, 93106, United States",93106
University of California Santa Cruz,HSI,,,Y,Y,Y,Y,Astronomy department,37.00012445,-122.0622122,"University of California Santa Cruz, Stevenson Upper Quad, University of California Santa Cruz, Santa Cruz, Santa Cruz County, California, 95064, United States",95064
University of California-Merced,HSI,R2,,Y,N,Y,Y,Astronomy research; Astronomy faculty,37.3662609,-120.424296,,95343
