Institution Name,Classification,Research Classification,Highest Level of Degree Available,Physics Program (Y/N),Astronomy Program (Y/N),Astronomy Faculty (Y/N),Numerous Astronomy Faculty (Y/N),NOTES,Latitude,Longitude,Address,Zip Code
University of Central Florida,HSI,,,Y,Y,Y,Y,Astronomy minor,28.59899755,-81.19712501,"University of Central Florida, 4000, Central Florida Boulevard, Wedgefield, Orange County, Florida, 32816, United States",32816
University of Colorado-Colorado Springs,,R2,,Y,N,N,N,No astronomy faculty,38.8924932,-104.7996978,,80907
University of Dayton,,R2,,Y,N,N,N,No astronomy faculty,39.73845985,-84.17919478,,45409
University of Denver,,R2,,Y,Y,Y,Y,Astronomy department,39.67831365,-104.9625092,,80208
University of Houston,HSI,,,Y,N,Y,Y,Astronomy research (planetary systems),29.7207902,-95.34406271,"University of Houston, 4800, Calhoun Road, Houston, Harris County, Texas, 77004, United States",77004
University of Houston Clear Lake,HSI,,,Y,Y,Y,Y,Astronomy minor,29.5806767,-95.09699967,"University of Houston - Clear Lake, 2700, Bay Area Boulevard, Houston, Harris County, Texas, 77058, United States",77058
University of Idaho,,R2,,Y,Y,Y,Y,Astronomy program,46.72379775,-117.020439,,83844
University of Illinois at Chicago,HSI,,,Y,N,Y,Y,"Dr. Claudio Ugalde, Dr. James Unwin",41.8689223,-87.64858476,"University of Illinois at Chicago, 1200, West Harrison Street, Near West Side, Chicago, Cook County, Illinois, 60607, United States",60607
University of La Verne,HSI,,,Y,N,Y,Y,"Dr. David Chappell, Dr. Christos Tzounis",34.10113693,-117.7730207,"1950 3rd St, La Verne, California, 91750, United States",91750
University of Louisiana at Lafayette,,R2,,Y,N,Y,Y,"Manavi Jadhav, Andi Petculescu, William Hollerman",30.21928995,-92.04138304,,70506
University of Maine,,R2,,Y,Y,Y,Y,Astronomy department,17.6613447,121.754232,,Pilip
University of Maryland Eastern Shore,,R2,,Y,N,N,N,No information,38.21403735,-75.68287649,,21853
University of Maryland-Baltimore County,,R2,,Y,N,Y,Y,"Markos Georganopoulos, Mark Henriksen, Eileen Meyer",39.252377,-76.70891807,,21250
University of Massachusetts-Boston,,R2,,Y,N,N,N,No astronomy faculty,42.31405435,-71.03863441,,2125
University of Massachusetts-Dartmouth,,R2,,Y,Y,Y,Y,Astronomy concentration,41.6295897,-71.0061861,,2747
University of Massachusetts-Lowell,,R2,,Y,N,Y,Y,"Supriya Chakrabarti, Ofer Cohen, Timothy Cook, Silas Laycock, Paul Song, Nishant Agarwal",42.6519097,-71.31736284,,1854
University of Memphis,BSI,R2,,Y,Y,Y,Y,Astronomy department,35.1189387,-89.9372196,"The University of Memphis, University, Normal, Memphis, Shelby County, Tennessee, 38152, United States",38152
University of Missouri-Kansas City,,R2,,Y,Y,Y,Y,Astronomy department,39.0336761,-94.57807526,,64110
University of Missouri-St Louis,,R2,,Y,Y,Y,Y,Astronomy department,38.70863975,-90.31171454,,63121
University of Nebraska at Omaha,,R2,,Y,N,Y,N,Vincent Woolf,41.25779325,-96.0104763,,68182
University of Nevada Las Vegas,HSI,,,Y,Y,Y,Y,Astronomy department,36.10782625,-115.1418611,"University of Nevada, Las Vegas, 4505, Gym Road, Midtown UNLV, Las Vegas, Clark County, Nevada, 89154, United States",89154
University of New England,,R2,,Y,N,N,N,No information,43.45579395,-70.38972707,,4005
University of New Orleans,,R2,,Y,N,Y,N,Greg Seab,30.02835255,-90.0668428,,70122
University of North Carolina at Charlotte,,R2,,Y,N,Y,N,Susan Trammell,35.30649445,-80.7349705,,28223
University of North Carolina at Greensboro,BSI,R2,,Y,Y,Y,Y,Astronomy department,36.0679595,-79.81036691,"University of North Carolina - Greensboro, 1400, Spring Garden Street, Greensboro, Guilford County, North Carolina, 27412, United States",27412
University of North Carolina at Pembroke,BSI,,,Y,N,Y,Y,Observatory; Astronomy courses,34.6916696,-79.20136807,"University of North Carolina at Pembroke, 1, University Drive, Pembroke, Robeson County, North Carolina, 28372, United States",28372
University of North Carolina Wilmington,,R2,,Y,N,N,N,No astronomy faculty,34.2249827,-77.86907744,,28403
University of North Dakota,,R2,,Y,Y,Y,Y,Space studies program,47.92654115,-97.07212085,,58202
University of Puerto Rico Humacao,HSI,,,Y,N,Y,Y,Observatory,18.14764995,-65.83805567,"Universidad de Puerto Rico - Humacao, Calle Libertad, Los Pinos, Tejas, Humacao, 00791-0859, United States",00791-0859
University of Puerto Rico Mayaguez,HSI,,,Y,Y,Y,Y,Astronomy curriculum,18.21011195,-67.14252672,"Museo de Arte y Senado Académico, Avenida Laureles, Trastalleres, Barrio Pueblo, Mayagüez, Puerto Rico, 00680, United States",680
University of Puerto Rico Rio Piedras,HSI,R2,,Y,N,Y,Y,"Dr. Daniel Altschuler, Dr. Carment Pantoja",18.40463505,-66.04784855,"Universidad de Puerto Rico - Río Piedras, Calle Lerida, Urbanización Valencia, Universidad, San Juan, Puerto Rico, 00923, United States",923
University of Redlands,HSI,,,Y,N,N,N,No astronomy faculty,34.0634404,-117.1638593,"University of Redlands, University Street, Redlands, San Bernardino County, California, 92374, United States",92374
University of Rhode Island,,R2,,Y,N,Y,N,"Gaurav Khanna, Robert Coyne",41.4872969,-71.53446498,,2881
University of San Diego,,R2,,Y,N,N,N,No information,32.77259675,-117.189163,,92110
University of South Alabama,,R2,,Y,N,N,N,No astronomy faculty,30.6970263,-88.18086276,,36688
University of South Dakota,,R2,,Y,N,N,N,No astronomy faculty,42.79137035,-96.92542348,,57069
University of Southern Mississippi,BSI,,,Y,Y,Y,Y,Astronomy department,31.3286452,-89.33673117,"University of Southern Mississippi, 118, College Drive, Hattiesburg, Forrest County, Mississippi, 39406, United States",39406
University of Texas at Arlington,HSI,,,Y,Y,Y,Y,Astronomy minor,32.7284713,-97.11202127,"University of Texas at Arlington, 701, South Nedderman Drive, Arlington, Tarrant County, Texas, 76013, United States",76013
University of Texas at El Paso,HSI,,,Y,N,N,N,No astronomy faculty,31.77037035,-106.5059545,"500 W University Ave, El Paso, Texas, 79968, United States",79968
University of Texas at San Antonio,HSI,,,Y,Y,Y,Y,Astronomy department,25.89581415,-97.4881916,"The University of Texas at San Antonio, 1, UTSA Circle, San Antonio, Bexar County, Texas, 78249, United States",78249
University of Texas Rio Grande Valley,HSI,,,Y,Y,Y,Y,Astronomy department,25.89581415,-97.4881916,"University of Texas Rio Grande Valley, 1201, West University Drive, Wood Colonia, Edinburg, Hidalgo County, Texas, 78541, United States",78541
University of the District of Columbia,HBCU,,Doctorate,N,N,N,N,No physics department,38.9449357,-77.06631766,"University of the District of Columbia, Connecticut Avenue Northwest, Washington, District of Columbia, 20015, United States",20008
University of the Virgin Islands,HBCU,,Doctorate,Y,Y,Y,Y,Concentration in astronomy,18.33971,-64.96404,"St. Thomas, Charlotte Amalie West, St. Thomas, 00802, United States Virgin Islands",802
University of Toledo,,R2,,Y,Y,Y,Y,Astronomy department,41.6582432,-83.61478734,,43606
University of Tulsa,,R2,,Y,N,Y,Y,Astrophysics research,36.1523306,-95.94596024,,74104
University of Vermont,,R2,,Y,Y,Y,Y,Astronomy minor,44.4737365,-73.1941468,,5401
University of West Georgia,BSI,,,Y,Y,Y,Y,Astronomy department,33.5750493,-85.10336012,"University of West Georgia, 1601, Maple Street, Briarwood Estates, Carrollton, Carroll County, Georgia, 30118, United States",30118
University of Wyoming,,R2,,Y,Y,Y,Y,Astronomy department,41.3144774,-105.5643229,,82071
Utah State University,,R2,,Y,N,Y,N,Jan Sojka,41.75246665,-111.8088345,,84341
Valdosta State University,BSI,,,Y,Y,Y,Y,Astronomy department,30.8471471,-83.288946,"Valdosta State University, 1500, North Patterson Street, Valdosta, Lowndes County, Georgia, 31698, United States",31698
Villanova University,,R2,,Y,Y,Y,Y,Astronomy department; Joseph Neilsen,40.0367774,-75.34202332,,19085
Virginia Union University,HBCU,,Doctorate,Y,N,N,N,No astronomy faculty,37.5617598,-77.45105979,"Virginia Union University, Brook Road, Gilpin Court, Richmond, Virginia, 23227, United States",23220
Wake Forest University,,R2,,Y,N,Y,N,Paul Anderson,36.134335,-80.2781152,,27109
West Texas A & M University,HSI,,,Y,N,N,N,No astronomy faculty,34.98131465,-101.903869,"West Texas A&M University, Valley View Road, Canyon, Randall County, Texas, 79015, United States",79015
Western Michigan University,,R2,,Y,N,Y,Y,"Manuel Bautista, Kirk Korista, Elena Litvinova, Zbigniew Chajecki, Mike Famiano, Lisa Paulius; Not much astronomy research",42.28333755,-85.60950673,,49008
Whittier College,HSI,,,Y,Y,Y,Y,Astronomy department,33.97784155,-118.0302221,"Whittier College, 13406, Philadelphia Street, Whittier, Los Angeles County, California, 90602, United States",90602
Wichita State University,,R2,,Y,N,Y,N,Jason Ferguson,37.71934295,-97.28988783,,67260
Wilberforce University,HBCU,,Master,N,N,N,N,No physics department,39.70859065,-83.87895696,"Wilberforce University, 1055, North Bickett Road, Wilberforce, Xenia, Xenia Township, Greene County, Ohio, 45384, United States",45384-1001
Worcester Polytechnic Institute,,R2,,Y,Y,Y,Y,Astrophysics minor,42.274315,-71.80845675,,1609
Wright State University-Main Campus,,R2,,Y,N,N,N,No astronomy faculty,39.78420385,-84.05677987,,45435
Xavier University of Louisiana,HBCU,,Doctorate,Y,N,N,N,Astronomy courses,29.9638897,-90.10922359,"Xavier University of Louisiana, 1, Drexel Drive, New Orleans, Orleans Parish, Louisiana, 70135, United States",70125-1098
Yeshiva University,,R2,,Y,N,N,N,No astronomy faculty,34.0555657,-118.387855,,90035
